Job Title,Company Name,Location,Job Description,Salary Estimate,SQL,Python,Power_BI,Tableau,Excel
Junior Data Analyst,RetailPulse Systems,"Delhi NCR, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$58K-$167K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,Fintech Innovations,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$104K-$170K (Glassdoor est.),1,1,0,0,1
Data Analyst,DataMetrics Inc,"Bengaluru, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$90K-$159K (Glassdoor est.),0,0,0,0,0
Data Scientist,TechCorp Solutions,"Hyderabad, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$53K-$135K (Glassdoor est.),0,0,0,0,0
Data Engineer,TechCorp Solutions,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$62K-$173K (Glassdoor est.),1,1,0,0,1
Business Analyst,RetailPulse Systems,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$73K-$162K (Glassdoor est.),1,1,0,0,1
Data Scientist,Global Health Analytics,"Hyderabad, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$99K-$131K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,TechCorp Solutions,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$43K-$157K (Glassdoor est.),1,1,0,0,1
Data Engineer,Global Health Analytics,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$98K-$162K (Glassdoor est.),1,1,0,0,1
Business Analyst,TechCorp Solutions,"Bengaluru, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$48K-$158K (Glassdoor est.),1,1,0,0,1
Data Scientist,Fintech Innovations,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$61K-$178K (Glassdoor est.),1,1,1,0,0
Data Scientist,RetailPulse Systems,"Hyderabad, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$46K-$157K (Glassdoor est.),1,1,1,0,0
Data Engineer,TechCorp Solutions,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$42K-$160K (Glassdoor est.),1,1,1,0,0
Data Scientist,RetailPulse Systems,"Bengaluru, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$53K-$187K (Glassdoor est.),1,1,1,0,0
Data Scientist,Global Health Analytics,"Mumbai, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$78K-$185K (Glassdoor est.),0,0,0,0,0
Data Engineer,DataMetrics Inc,"Mumbai, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$59K-$146K (Glassdoor est.),1,1,0,1,1
Data Scientist,RetailPulse Systems,"Hyderabad, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$62K-$140K (Glassdoor est.),1,1,0,1,1
Data Analyst,DataMetrics Inc,"Pune, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$101K-$170K (Glassdoor est.),1,1,0,1,1
Business Analyst,DataMetrics Inc,"Mumbai, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$89K-$185K (Glassdoor est.),0,0,0,0,0
Junior Data Analyst,DataMetrics Inc,"Bengaluru, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$50K-$157K (Glassdoor est.),0,0,0,0,0
Data Scientist,DataMetrics Inc,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$68K-$146K (Glassdoor est.),1,0,1,0,0
Junior Data Analyst,TechCorp Solutions,"Hyderabad, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$87K-$155K (Glassdoor est.),0,0,0,0,0
Business Analyst,TechCorp Solutions,"Pune, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$86K-$134K (Glassdoor est.),0,0,0,0,0
Junior Data Analyst,TechCorp Solutions,"Pune, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$73K-$147K (Glassdoor est.),1,1,0,1,1
Data Analyst,Global Health Analytics,"Hyderabad, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$75K-$181K (Glassdoor est.),1,1,1,0,0
Data Scientist,TechCorp Solutions,"Pune, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$90K-$173K (Glassdoor est.),0,0,0,0,0
Junior Data Analyst,Global Health Analytics,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$81K-$146K (Glassdoor est.),1,1,0,0,1
Data Engineer,DataMetrics Inc,"Hyderabad, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$58K-$173K (Glassdoor est.),1,0,1,0,0
Data Analyst,RetailPulse Systems,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$73K-$140K (Glassdoor est.),1,1,1,0,0
Data Analyst,RetailPulse Systems,"Bengaluru, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$53K-$157K (Glassdoor est.),1,1,1,0,0
Data Scientist,TechCorp Solutions,"Delhi NCR, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$64K-$184K (Glassdoor est.),1,1,1,0,0
Data Engineer,DataMetrics Inc,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$75K-$137K (Glassdoor est.),1,0,1,0,0
Data Analyst,Global Health Analytics,"Mumbai, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$70K-$131K (Glassdoor est.),1,1,0,1,1
Junior Data Analyst,DataMetrics Inc,"Delhi NCR, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$115K-$184K (Glassdoor est.),1,0,1,0,0
Data Scientist,Global Health Analytics,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$90K-$176K (Glassdoor est.),1,1,1,0,0
Data Scientist,TechCorp Solutions,"Bengaluru, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$50K-$189K (Glassdoor est.),0,0,0,0,0
Data Engineer,RetailPulse Systems,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$99K-$175K (Glassdoor est.),1,0,1,0,0
Business Analyst,DataMetrics Inc,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$115K-$133K (Glassdoor est.),1,1,0,0,1
Data Scientist,DataMetrics Inc,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$73K-$181K (Glassdoor est.),1,0,1,0,0
Junior Data Analyst,Global Health Analytics,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$100K-$146K (Glassdoor est.),1,1,0,0,1
Data Analyst,DataMetrics Inc,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$119K-$135K (Glassdoor est.),1,1,1,0,0
Junior Data Analyst,RetailPulse Systems,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$117K-$158K (Glassdoor est.),1,1,1,0,0
Junior Data Analyst,Fintech Innovations,"Delhi NCR, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$119K-$189K (Glassdoor est.),1,1,1,0,0
Business Analyst,Fintech Innovations,"Hyderabad, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$116K-$132K (Glassdoor est.),1,1,0,0,1
Data Scientist,DataMetrics Inc,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$85K-$157K (Glassdoor est.),1,1,1,0,0
Junior Data Analyst,DataMetrics Inc,"Hyderabad, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$72K-$150K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,RetailPulse Systems,"Bengaluru, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$85K-$137K (Glassdoor est.),1,0,1,0,0
Data Engineer,Global Health Analytics,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$50K-$172K (Glassdoor est.),0,0,0,0,0
Junior Data Analyst,Fintech Innovations,"Hyderabad, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$75K-$178K (Glassdoor est.),1,1,0,0,1
Data Engineer,RetailPulse Systems,"Delhi NCR, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$111K-$155K (Glassdoor est.),1,0,1,0,0
Data Engineer,Global Health Analytics,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$96K-$146K (Glassdoor est.),1,1,1,0,0
Data Analyst,Global Health Analytics,"Pune, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$56K-$178K (Glassdoor est.),1,1,0,1,1
Data Scientist,TechCorp Solutions,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$67K-$150K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,TechCorp Solutions,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$78K-$144K (Glassdoor est.),1,1,1,0,0
Data Scientist,Global Health Analytics,"Hyderabad, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$116K-$149K (Glassdoor est.),1,0,1,0,0
Junior Data Analyst,Global Health Analytics,"Hyderabad, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$46K-$155K (Glassdoor est.),1,1,1,0,0
Data Analyst,RetailPulse Systems,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$104K-$133K (Glassdoor est.),1,1,1,0,0
Data Scientist,RetailPulse Systems,"Delhi NCR, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$102K-$147K (Glassdoor est.),1,1,0,1,1
Data Analyst,DataMetrics Inc,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$43K-$145K (Glassdoor est.),1,1,1,0,0
Business Analyst,Global Health Analytics,"Hyderabad, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$115K-$185K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,Fintech Innovations,"Bengaluru, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$107K-$142K (Glassdoor est.),0,0,0,0,0
Business Analyst,Global Health Analytics,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$93K-$161K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,Fintech Innovations,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$93K-$184K (Glassdoor est.),1,1,0,0,1
Data Engineer,TechCorp Solutions,"Mumbai, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$91K-$175K (Glassdoor est.),1,1,0,0,1
Business Analyst,DataMetrics Inc,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$95K-$184K (Glassdoor est.),0,0,0,0,0
Junior Data Analyst,Fintech Innovations,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$46K-$147K (Glassdoor est.),1,1,1,0,0
Data Scientist,RetailPulse Systems,"Pune, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$67K-$132K (Glassdoor est.),1,0,1,0,0
Data Analyst,DataMetrics Inc,"Bengaluru, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$100K-$186K (Glassdoor est.),0,0,0,0,0
Data Scientist,Global Health Analytics,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$75K-$183K (Glassdoor est.),1,1,1,0,0
Data Scientist,Global Health Analytics,"Pune, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$73K-$138K (Glassdoor est.),1,0,1,0,0
Data Scientist,DataMetrics Inc,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$111K-$172K (Glassdoor est.),0,0,0,0,0
Data Analyst,TechCorp Solutions,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$99K-$147K (Glassdoor est.),1,1,0,0,1
Data Analyst,TechCorp Solutions,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$87K-$170K (Glassdoor est.),1,1,0,0,1
Data Analyst,RetailPulse Systems,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$40K-$183K (Glassdoor est.),1,0,1,0,0
Junior Data Analyst,Fintech Innovations,"Bengaluru, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$57K-$132K (Glassdoor est.),1,0,1,0,0
Data Analyst,TechCorp Solutions,"Pune, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$48K-$153K (Glassdoor est.),1,1,0,1,1
Business Analyst,Global Health Analytics,"Mumbai, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$65K-$167K (Glassdoor est.),1,1,0,1,1
Data Engineer,Fintech Innovations,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$43K-$163K (Glassdoor est.),1,0,1,0,0
Business Analyst,TechCorp Solutions,"Delhi NCR, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$65K-$184K (Glassdoor est.),1,1,1,0,0
Business Analyst,TechCorp Solutions,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$61K-$167K (Glassdoor est.),0,0,0,0,0
Business Analyst,Fintech Innovations,"Hyderabad, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$110K-$149K (Glassdoor est.),1,1,0,1,1
Data Scientist,DataMetrics Inc,"Delhi NCR, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$109K-$154K (Glassdoor est.),1,0,1,0,0
Data Engineer,Fintech Innovations,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$53K-$160K (Glassdoor est.),0,0,0,0,0
Data Scientist,Fintech Innovations,"Pune, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$64K-$130K (Glassdoor est.),1,0,1,0,0
Data Engineer,TechCorp Solutions,"Bengaluru, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$44K-$190K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,RetailPulse Systems,"Delhi NCR, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$78K-$187K (Glassdoor est.),1,1,0,1,1
Business Analyst,Global Health Analytics,"Mumbai, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$88K-$144K (Glassdoor est.),1,1,1,0,0
Data Scientist,Fintech Innovations,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$76K-$132K (Glassdoor est.),1,1,1,0,0
Junior Data Analyst,TechCorp Solutions,"Pune, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$40K-$185K (Glassdoor est.),0,0,0,0,0
Data Scientist,TechCorp Solutions,"Hyderabad, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$94K-$138K (Glassdoor est.),0,0,0,0,0
Data Scientist,Global Health Analytics,"Pune, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$64K-$169K (Glassdoor est.),0,0,0,0,0
Junior Data Analyst,DataMetrics Inc,"Hyderabad, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$100K-$177K (Glassdoor est.),1,0,1,0,0
Data Engineer,Global Health Analytics,"Hyderabad, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$78K-$136K (Glassdoor est.),1,1,0,1,1
Data Engineer,RetailPulse Systems,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$50K-$174K (Glassdoor est.),1,1,0,0,1
Data Analyst,TechCorp Solutions,"Bengaluru, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$68K-$178K (Glassdoor est.),1,1,0,1,1
Business Analyst,RetailPulse Systems,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$92K-$131K (Glassdoor est.),1,1,1,0,0
Junior Data Analyst,DataMetrics Inc,"Mumbai, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$72K-$134K (Glassdoor est.),0,0,0,0,0
Data Scientist,Fintech Innovations,"Hyderabad, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$83K-$152K (Glassdoor est.),1,1,1,0,0
Business Analyst,Global Health Analytics,"Hyderabad, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$80K-$134K (Glassdoor est.),1,1,0,1,1
Data Engineer,RetailPulse Systems,"Delhi NCR, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$61K-$187K (Glassdoor est.),1,0,1,0,0
Business Analyst,RetailPulse Systems,"Delhi NCR, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$79K-$186K (Glassdoor est.),1,1,0,1,1
Business Analyst,DataMetrics Inc,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$61K-$176K (Glassdoor est.),0,0,0,0,0
Data Analyst,Fintech Innovations,"Delhi NCR, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$105K-$159K (Glassdoor est.),0,0,0,0,0
Business Analyst,TechCorp Solutions,"Mumbai, India","Seeking a Junior Analyst who loves data cleaning. You will work with MySQL databases, perform EDA, and present visual business metrics using Power BI and DAX syntax.",$104K-$143K (Glassdoor est.),1,0,1,0,0
Data Analyst,RetailPulse Systems,"Pune, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$100K-$154K (Glassdoor est.),1,1,1,0,0
Business Analyst,TechCorp Solutions,"Bengaluru, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$114K-$184K (Glassdoor est.),0,0,0,0,0
Data Scientist,Fintech Innovations,"Bengaluru, India",We are looking for a Data Analyst proficient in SQL and Python. Must have experience building dashboard systems in Power BI and working with Pandas libraries for predictive logic modeling.,$97K-$184K (Glassdoor est.),1,1,1,0,0
Junior Data Analyst,Global Health Analytics,"Pune, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$63K-$141K (Glassdoor est.),1,1,0,0,1
Junior Data Analyst,DataMetrics Inc,"Delhi NCR, India","Core requirements: Python, SQL, and Excel dashboard tracking. Experience in descriptive statistics and KPI metrics deployment is required for day to day corporate reporting.",$99K-$146K (Glassdoor est.),1,1,0,0,1
Data Scientist,Global Health Analytics,"Mumbai, India","Data Scientist role requiring fundamental knowledge of AI/ML. Should be comfortable mining text, analyzing datasets with Pandas, and writing automated extraction scripts.",$66K-$179K (Glassdoor est.),0,0,0,0,0
Data Engineer,RetailPulse Systems,"Mumbai, India","Join our data team! Required skills: Advanced Excel, Tableau visualization, and writing complex SQL queries. Knowledge of Python data preprocessing is a huge plus.",$83K-$181K (Glassdoor est.),1,1,0,1,1
